symbol,kind,parent_class,header,signature,line,prod_usage_count,prod_reachable,churn_12m,workflows_direct,header_basename_collision,name_uniqueness,match_confidence
ANSHeader,s,o2::ctf,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/ANSHeader.h,,27,16,true,0,0,true,unique,high
Assign,s,o2::math_utils::detail,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/SMatrixGPU.h,,579,10,true,0,1,false,unique,high
AssignSym,s,o2::math_utils::detail,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/SMatrixGPU.h,,650,0,true,0,0,false,unique,high
BareFormat,s,o2::mch::raw,/Users/miranov25/alicesw/O2/Detectors/MUON/MCH/Raw/Common/include/MCHRawCommon/DataFormats.h,,21,0,true,0,0,false,unique,high
BinCenterView,f,o2::utils::BinCenterView,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/BoostHistogramUtils.h,(AxisIterator iter),64,0,true,0,0,false,unique,high
BinLowerView,f,o2::utils::BinLowerView,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/BoostHistogramUtils.h,(AxisIterator iter),126,0,true,0,0,false,unique,high
BinUpperView,f,o2::utils::BinUpperView,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/BoostHistogramUtils.h,(AxisIterator iter),94,0,true,0,0,false,unique,high
Block,s,o2::ctf,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,,152,3,true,0,2,false,unique,high
Bracket,p,o2::math_utils::detail::Bracket,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/detail/Bracket.h,(),41,13,true,0,0,true,unique,high
BuildTree,p,o2::utils::TreeStream,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/TreeStream.h,(),128,0,true,0,0,false,unique,high
CTFDictHeader,s,o2::ctf,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/CTFDictHeader.h,,29,57,true,0,0,true,unique,high
CTFHeader,s,o2::ctf,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/CTFHeader.h,,27,85,true,0,0,true,unique,high
CTFIOSize,s,o2::ctf,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/CTFIOSize.h,,22,141,true,0,0,true,unique,high
